barcode;productid;name;storeId;mccprice;mccpricesymbol;pricewithextravalue;pricewithextravaluesymbol;onsale;onstock;stockamount;mediumimageurl;unitformat;hasmigroskop;hasdiscount;company;
8594002689469;278726;CALGONIT TUZ PRATİK PAKET 1 KG;179;0.0;TL;3.99;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/30441811.jpg;Ad;false;false;false;
8697413900038;290434;YÖRÜK SOSİS 460 G;179;0.0;TL;4.49;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690092002109;147025;TİKVEŞLİ SEPET TEREYAĞI 250 G;179;0.0;TL;0.44;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8699501013446;100838;ORGANICS 2.1 SAMPUAN 370GR KEPEK;179;0.0;TL;7.59;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/34291005.jpg;Ad;false;false;false;
8690515917416;262972;TRİDENT YEŞİL NANE AROMALI ŞEKERSİZ SAKIZ 25 GR;179;0.0;TL;1.4;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun//medium/07126271.jpg;Ad;false;false;false;
8002110312471;148696;CAREFREE MİNİ PED AIRFLOW 20 ADET;179;0.0;TL;1.9;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690624103205;775087;LAY'S ZEYTİNYAĞLI CİPS SADE AİLE BOY 68 GR;179;0.0;TL;0.75;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/05082034.jpg;Ad;false;false;false;
8696027011017;176266;KUHNE ELMA SİRKESİ 500 ML;179;0.0;TL;5.25;TL;true;true;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/06031311.jpg;Ad;false;false;false;
8410001106557;148762;SCOTCH BRITE PRATİK SÜNGER SETİ;179;0.0;TL;6.0;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/31171115.jpg;Ad;false;false;false;
8690521030024;107242;CIF LUX 900 GR.;179;0.0;TL;1.99;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/30610502.jpg;Ad;false;false;false;
